text,intent
"What is the deadline for filing my taxes this year?","tax_filing_dates"
"How can I claim tax deductions for education expenses?","tax_deductions"
"Where can I check the status of my tax refund?","tax_refund_status"
"Which forms do I need for filing personal income tax?","tax_forms"
"How do I apply for a tax extension?","tax_filing_dates"
"Can I deduct home office expenses on my taxes?","tax_deductions"
"How do I get a copy of my previous tax return?","tax_forms"
"What's the deadline for tax returns in the UK?","tax_filing_dates"
"Are there tax deductions for charitable donations?","tax_deductions"
"How do I update my address with the IRS?","tax_forms"
"What's the weather like today in New York?","current_weather"
"Will it rain tomorrow in San Francisco?","weather_forecast"
"What's the weather forecast for the weekend in Chicago?","weather_forecast"
"Will it snow this weekend in Denver?","weather_forecast"
"How hot will it be this afternoon in Los Angeles?","current_weather"
"Make an appointment for a car service next Monday.","appointment_scheduling"
"Reschedule my dentist appointment to next Friday.","appointment_rescheduling"
"Schedule a meeting with John at 3 PM tomorrow.","appointment_scheduling"
"Set a reminder for my doctor's appointment next Tuesday.","reminder_setting"
"Book a flight to London for August 25th.","flight_booking"
"Check the status of my flight to Tokyo.","flight_status"
"Find a flight from Miami to New York for July 15th.","flight_booking"
"Check if my flight to Paris is delayed.","flight_status"
"What time is my next meeting?","general_query"
"Find a nearby coffee shop.","location_query"
"How do I reset my password?","general_query"
"Where can I find a good place to eat nearby?","location_query"
"How do I apply for a tax extension?","tax_filing_dates"
"How do I treat a headache?","health_tips"
"What's the latest news on global warming?","news_inquiry"
"Give me some tips to stay healthy during flu season.","health_tips"
"How can I contact customer service for my bank?","general_query"
"What's the best way to prevent the flu?","health_tips"
"Find a pharmacy nearby.","location_query"
"Where can I get my car serviced?","location_query"
"What are the symptoms of the flu?","health_symptoms"
"How can I update my contact information with the IRS?","tax_forms"
"Can I deduct mortgage interest on my taxes?","tax_deductions"
"How do I file an amended tax return?","tax_filing_dates"
"What's the weather forecast for the next week?","weather_forecast"
"Book a hotel room in Seattle for next weekend.","travel_arrangement"
"Arrange transportation from the airport to the hotel in New York.","travel_arrangement"
"Find a nearby gym.","location_query"
"What are the best practices for healthy eating?","health_tips"
"How do I get a refund for a canceled flight?","flight_status"
"Make a reservation for dinner at an Italian restaurant.","restaurant_reservation"
"Check if there are any delays for my flight to San Francisco.","flight_status"
"Set a reminder to call my mom on her birthday.","reminder_setting"
"What are the latest updates on COVID-19?","news_inquiry"
"How do I access my medical records online?","health_query"
"Find me a restaurant for a vegan dinner.","restaurant_reservation"
"What are the common side effects of the flu vaccine?","health_query"
"How do I report a lost credit card?","general_query"
"Book a taxi to the airport.","travel_arrangement"
"Find a local dentist.","location_query"
"How do I fix a laptop that won't start?","laptop_troubleshooting"
"My laptop is running slow, what should I do?","laptop_troubleshooting"
"How do I upgrade the RAM on my laptop?","laptop_hardware"
"What's the best antivirus software for my laptop?","laptop_security"
"How do I connect my laptop to a printer?","laptop_peripherals"
"How do I reset my laptop to factory settings?","laptop_software"
"Why is my laptop overheating and how can I fix it?","laptop_troubleshooting"
"How do I back up my laptop data?","laptop_data_management"
"How can I improve the battery life of my laptop?","laptop_battery"
"How do I install a new operating system on my laptop?","laptop_software"
"Why does my laptop keep crashing?","laptop_troubleshooting"
"How do I remove a virus from my laptop?","laptop_security"
"How do I set up a new user account on my laptop?","laptop_software"
"How do I recover lost files on my laptop?","laptop_data_management"
"What should I do if my laptop screen is flickering?","laptop_display"
"How can I optimize my laptop for gaming?","laptop_performance"
"How do I update drivers on my laptop?","laptop_software"
"How do I check my laptop's warranty status?","laptop_support"
"Which districts are there in Uttar Pradesh?","location_query"
"List the districts in Maharashtra.","location_query"
"Tell me about the districts in Tamil Nadu.","location_query"
"Which districts are in Karnataka?","location_query"
"Can you provide a list of districts in West Bengal?","location_query"
"Show me the districts in Gujarat.","location_query"
"What are the districts in Rajasthan?","location_query"
"How many districts are there in Bihar?","location_query"
"List the districts of Punjab.","location_query"
"Tell me the districts in Haryana.","location_query"
"Show me the districts in Madhya Pradesh.","location_query"
"Which districts are there in Andhra Pradesh?","location_query"
"List the districts in Telangana.","location_query"
"What are the districts in Kerala?","location_query"
"Provide a list of districts in Odisha.","location_query"
"Which districts are in Assam?","location_query"
"Show the districts of Jammu and Kashmir.","location_query"
"List the districts in Himachal Pradesh.","location_query"
"Tell me about the districts in Chhattisgarh.","location_query"
"Show me the districts in Uttarakhand.","location_query"
"Which districts are in Arunachal Pradesh?","location_query"
"Provide a list of districts in Nagaland.","location_query"
"List the districts in Manipur.","location_query"
"Tell me about the districts in Meghalaya.","location_query"
"Which districts are there in Tripura?","location_query"
"Show the districts of Mizoram.","location_query"
"List the districts in Sikkim.","location_query"
"Which districts are in Goa?","location_query"
"Tell me about the districts in Puducherry.","location_query"
"Show the districts in Andaman and Nicobar Islands.","location_query"
"What is the capital of Uttar Pradesh?","location_query"
"List all the districts in Uttar Pradesh.","location_query"
"Tell me about the major cities in Uttar Pradesh.","location_query"
"Which districts are in the western part of Uttar Pradesh?","location_query"
"Name the districts of Uttar Pradesh with more than 2 million population.","location_query"
"What are the major rivers in Uttar Pradesh?","general_information"
"Provide information about the largest district in Uttar Pradesh by area.","general_information"
"How many divisions are there in Uttar Pradesh?","general_information"
"What is the official language of Uttar Pradesh?","general_information"
"Tell me about the history of Uttar Pradesh.","general_information"
"Which district in Uttar Pradesh is known for its historical significance?","general_information"
"List the educational institutions in Uttar Pradesh.","education_query"
"Where can I find healthcare facilities in Uttar Pradesh?","healthcare_query"
"Provide details about the tourist attractions in Uttar Pradesh.","tourism_query"
"Which districts in Uttar Pradesh are famous for their cultural festivals?","tourism_query"
"Tell me about the weather in Uttar Pradesh.","weather_query"
"What are the primary industries in Uttar Pradesh?","general_information"
"Find information about transportation options in Uttar Pradesh.","transportation_query"
"What is the demographic distribution of Uttar Pradesh?","demographic_query"
"How can I contact the municipal offices in Uttar Pradesh?","contact_query"
"List the districts in Uttar Pradesh that have been declared as smart cities.","smart_cities_query"
"Which districts in Uttar Pradesh are known for their agriculture?","general_information"
"Provide information about the political representation in Uttar Pradesh.","political_query"
"Name the famous landmarks in Uttar Pradesh.","tourism_query"
"Tell me about the recent developments in Uttar Pradesh.","current_affairs_query"
"Which districts in Uttar Pradesh are prone to floods?","general_information"
"List the districts in Uttar Pradesh with major historical sites.","general_information"
"Which districts in Uttar Pradesh have the highest literacy rates?","education_query"
"Find out about the public transport system in Uttar Pradesh.","transportation_query"
"Which districts in Uttar Pradesh are known for their cuisine?","food_query"
"Tell me about the major festivals celebrated in Uttar Pradesh.","cultural_query"
"List the districts of Uttar Pradesh along with their PIN codes.","location_query"
"Provide a list of government offices in Uttar Pradesh.","contact_query"
"What are the major challenges faced by Uttar Pradesh?","general_information"
"How does the education system in Uttar Pradesh compare to other states?","education_query"
"Which districts in Uttar Pradesh are known for their handicrafts?","tourism_query"
"Find out about the health services available in Uttar Pradesh.","healthcare_query"
"Provide details on the water supply and sanitation in Uttar Pradesh.","general_information"
"List the districts of Uttar Pradesh where major industrial hubs are located.","general_information"
"Tell me about the natural resources found in Uttar Pradesh.","general_information"
"Which districts in Uttar Pradesh are famous for their wildlife sanctuaries?","tourism_query"
"Find information about the electricity distribution in Uttar Pradesh.","general_information"
"Provide details about the governance structure in Uttar Pradesh.","political_query"
"List the major banks and financial institutions in Uttar Pradesh.","financial_query"
"Tell me about the historical monuments in Uttar Pradesh.","tourism_query"
"Which districts in Uttar Pradesh have the best infrastructure development?","general_information"
"Provide information about the local cuisine of Uttar Pradesh.","food_query"
"List the districts in Uttar Pradesh with major educational institutions.","education_query"
"Tell me about the traditional crafts of Uttar Pradesh.","tourism_query"
"Which districts in Uttar Pradesh are popular among tourists?","tourism_query"
"Provide information about the legal system in Uttar Pradesh.","legal_query"
"List the major government schemes available in Uttar Pradesh.","general_information"
"Tell me about the cultural heritage of Uttar Pradesh.","cultural_query"
"Which districts in Uttar Pradesh are known for their fairs and festivals?","cultural_query"
"Provide details on the real estate market in Uttar Pradesh.","real_estate_query"
"List the districts in Uttar Pradesh with significant economic activities.","general_information"
"Tell me about the local governance in Uttar Pradesh.","political_query"
"What is the capital of India?","general_information"
"List all the states and union territories of India.","general_information"
"Tell me about the major cities in India.","general_information"
"Which states in India have the largest populations?","demographic_query"
"Provide information about the historical monuments in India.","tourism_query"
"List the national parks in India.","tourism_query"
"Which states in India are known for their cultural festivals?","cultural_query"
"Tell me about the major rivers in India.","general_information"
"How many states are there in India?","general_information"
"What are the official languages of India?","general_information"
"Which states in India are known for their beaches?","tourism_query"
"Provide details about the educational institutions in India.","education_query"
"Where can I find information about healthcare facilities in India?","healthcare_query"
"Tell me about the major industries in India.","general_information"
"Which states in India are known for their agricultural activities?","general_information"
"List the districts of Uttar Pradesh.","location_query"
"Provide details about the governance structure in India.","political_query"
"Which Indian states have the highest literacy rates?","education_query"
"Tell me about the climate zones in India.","general_information"
"Which Indian cities are famous for their culinary specialties?","food_query"
"Provide information about the major international airports in India.","transportation_query"
"List the major events and fairs celebrated in India.","cultural_query"
"Tell me about the traditional arts and crafts of India.","cultural_query"
"Which states in India have the most significant tourist attractions?","tourism_query"
"Provide details on the public transportation system in India.","transportation_query"
"Which Indian cities are known for their IT industries?","general_information"
"Tell me about the major political parties in India.","political_query"
"Provide information on the economic growth of India.","general_information"
"Which districts in India are known for their mining activities?","general_information"
"List the states in India that are prone to natural disasters.","general_information"
"Tell me about the historical significance of Delhi.","tourism_query"
"Which states in India are known for their traditional music and dance?","cultural_query"
"List the major sports facilities in India.","sports_query"
"Provide information on the legal system in India.","legal_query"
"Tell me about the major scientific research institutions in India.","education_query"
"Which Indian cities are known for their film industry?","general_information"
"Provide details about the power supply and energy sector in India.","general_information"
"Which Indian states have the highest GDP?","general_information"
"List the important environmental conservation projects in India.","general_information"
"Tell me about the major festivals celebrated across India.","cultural_query"
"Which states in India are known for their wildlife sanctuaries?","tourism_query"
"Provide information on the postal services in India.","general_information"
"Tell me about the major achievements in Indian history.","general_information"
"List the key milestones in India's space program.","general_information"
"Which states in India have the best healthcare services?","healthcare_query"
"Provide details about the demographic trends in India.","demographic_query"
"Tell me about the major challenges facing India today.","general_information"
"Which states in India are known for their handicrafts?","tourism_query"
"List the major government schemes in India.","general_information"
"Provide information about the local cuisine in different states of India.","food_query"
"Tell me about the major economic reforms in India.","general_information"
"Which states in India have the highest urbanization rates?","demographic_query"
"List the major international relations and trade agreements involving India.","general_information"
"Provide information on the cultural heritage sites in India.","tourism_query"
"Which states in India have the highest number of historical monuments?","tourism_query"
"Tell me about the education system in rural India.","education_query"
"List the major diplomatic missions of India abroad.","political_query"
"Provide details on the technological advancements in India.","general_information"
"Which states in India are known for their textile industries?","general_information"
"Tell me about the major wildlife conservation efforts in India.","general_information"
"List the significant research and development sectors in India.","education_query"
"How do different states in India contribute to national defense?","general_information"
"Which states in India are leading in renewable energy production?","general_information"
"Provide information about the social welfare programs in India.","general_information"
"Tell me about the major archaeological sites in India.","tourism_query"
"List the top tourist destinations in India.","tourism_query"
"Provide details about the economic impact of tourism in India.","general_information"
"Which states in India have the most developed infrastructure?","general_information"
"Tell me about the cultural diversity in India.","cultural_query"
"List the important national and state-level awards given in India.","general_information"
"Provide information about the religious diversity in India.","cultural_query"
"Which states in India have the highest rates of industrialization?","general_information"
"Tell me about the significant historical events in Indian independence.","general_information"
"List the major urban centers and their role in India's economy.","general_information"
"Provide information about the role of India in global environmental initiatives.","general_information"
"Which Indian states are leading in technological innovations?","general_information"
"Tell me about the major historical figures in Indian history.","general_information"
"List the major festivals celebrated in different regions of India.","cultural_query"
"Provide information about India's role in international organizations.","general_information"
"Which states in India have the highest rates of poverty alleviation?","general_information"
"Tell me about the various art forms originating from India.","cultural_query"
"List the major public and private sector enterprises in India.","general_information"
"Provide details about the major government initiatives for rural development in India.","general_information"
"Which states in India are known for their innovation hubs?","general_information"
"Tell me about the development of India's space research capabilities.","general_information"
"What are the most popular operating systems for laptops?","software_query"
"List some common productivity software for laptops.","software_query"
"Tell me about antivirus software for laptops.","software_query"
"Which software is best for video editing on a laptop?","software_query"
"List the best software for programming on a laptop.","software_query"
"What are the popular graphic design tools for laptops?","software_query"
"Provide information about software for data analysis on laptops.","software_query"
"Tell me about the top gaming software for laptops.","software_query"
"Which software is used for managing emails on a laptop?","software_query"
"List the best software for virtual meetings and conferences.","software_query"
"What software can be used for document creation and management?","software_query"
"Provide details about backup and recovery software for laptops.","software_query"
"Which software is recommended for photo editing on a laptop?","software_query"
"Tell me about the most used web browsers for laptops.","software_query"
"List the top software for network security on a laptop.","software_query"
"Which software helps in managing tasks and to-do lists?","software_query"
"Provide information about software for note-taking on a laptop.","software_query"
"Tell me about software used for 3D modeling and animation.","software_query"
"List the best software for database management on a laptop.","software_query"
"What software is essential for system optimization and maintenance?","software_query"
"Provide details about file compression and extraction tools.","software_query"
"Which software is used for digital drawing and illustration?","software_query"
"List the best tools for software development and coding on a laptop.","software_query"
"Tell me about software for creating presentations on a laptop.","software_query"
"What are some popular media players for laptops?","software_query"
"Provide information about software for PDF management and editing.","software_query"
"List the best tools for cloud storage and file synchronization.","software_query"
"Which software is recommended for system monitoring and diagnostics?","software_query"
"Tell me about software for remote desktop access on a laptop.","software_query"
"What are the best software solutions for data encryption?","software_query"
"List the top software for managing and editing spreadsheets.","software_query"
"Which software is used for web development on a laptop?","software_query"
"Provide information about software for email marketing.","software_query"
"Tell me about the software used for creating and managing databases.","software_query"
"List the best software for system cleanup and optimization.","software_query"
"Which software is essential for graphic design and illustration?","software_query"
"Provide details about software for audio editing and mixing.","software_query"
"What are the best software tools for CAD and engineering design?","software_query"
"Tell me about software for managing and analyzing large datasets.","software_query"
"List the top software for creating and managing virtual machines.","software_query"
"Which software is used for creating and editing vector graphics?","software_query"
"Provide information about software for managing digital assets.","software_query"
"Tell me about the most popular screen recording software for laptops.","software_query"
"List the best software for voice recognition and dictation.","software_query"
"Which software helps with project management and team collaboration?","software_query"
"Provide details about software for creating and managing websites.","software_query"
"Tell me about the software used for financial management and accounting.","software_query"
"List the top software for customer relationship management (CRM).","software_query"
"Which software is recommended for time tracking and productivity?","software_query"
"Provide information about software for creating and managing digital art.","software_query"
"Tell me about software used for system virtualization and emulation.","software_query"
"List the best software for creating and managing digital presentations.","software_query"
"Which software is used for network monitoring and management?","software_query"
"Provide details about software for audio and video streaming.","software_query"
"Tell me about software for managing personal finances on a laptop.","software_query"
"List the top software for scientific computing and simulations.","software_query"
"Which software is used for managing and editing digital images?","software_query"
"Provide information about software for collaborative writing and editing.","software_query"
"Tell me about software used for creating interactive content.","software_query"
"List the best tools for software testing and debugging.","software_query"
"Which software is essential for creating and managing presentations?","software_query"
"Provide details about software for managing digital libraries and catalogs.","software_query"
"Tell me about software for productivity and task automation.","software_query"
"List the top software for password management and security.","software_query"
"Which software is used for managing and organizing files?","software_query"
"Provide information about software for web scraping and data collection.","software_query"
"Tell me about software for creating and editing audio podcasts.","software_query"
"List the best tools for software deployment and management.","software_query"
"Which software is used for customer support and helpdesk?","software_query"
"Provide details about software for graphical user interface (GUI) design.","software_query"
"Tell me about the major software used in enterprise resource planning (ERP).","software_query"
"List the best software for collaborative design and prototyping.","software_query"
"Which software is essential for digital marketing and analytics?","software_query"
"Provide information about software for creating interactive presentations.","software_query"
"Tell me about software for computer-aided design (CAD).","software_query"
"List the top software for digital asset management.","software_query"
"Which software is used for educational and e-learning purposes?","software_query"
"Provide details about software for personal and professional development.","software_query"
"Tell me about software for managing large-scale IT infrastructure.","software_query"
"List the best tools for network simulation and analysis.","software_query"
"Which software is used for end-to-end project management?","software_query"
"Hey","greeting"
"Hi","greeting"
"Hello","greeting"
"How are you?","greeting"
"I'm good, thanks! How about you?","greeting"
"What's up?","greeting"
"Good morning","greeting"
"Good afternoon","greeting"
"Good evening","greeting"
"Good night","greeting"
"Thank you","gratitude"
"Thanks","gratitude"
"You're welcome","gratitude"
"Sorry","apology"
"I apologize","apology"
"No problem","apology"
"Can you help me with something?","request_help"
"I need assistance","request_help"
"Help me","request_help"
"Yes","affirmative"
"No","negative"
"Maybe","uncertain"
"What’s your name?","introduction"
"Who are you?","introduction"
"Tell me about yourself","introduction"
"How can I contact support?","contact_info"
"Where can I find more information?","contact_info"
"What is your purpose?","purpose"
"Why are you here?","purpose"
"What’s the weather like today?","weather_query"
"Tell me a joke","funny"
"Make me laugh","funny"
"Give me a fun fact","funny"
"Help me with a problem","request_help"
"I have a question","request_help"
"Tell me about the latest news","news_query"
"What's trending today?","news_query"
"Give me an update","news_query"
"How do I reset my password?","account_help"
"I forgot my password","account_help"
"How can I change my email?","account_help"
"Can you schedule a meeting for me?","request_help"
"I need to set a reminder","request_help"
"What's your favorite book?","personal_query"
"Do you like music?","personal_query"
"What's your favorite movie?","personal_query"
"Can you tell me a random fact?","funny"
"Do you know any interesting trivia?","funny"
"Can you set an alarm for me?","request_help"
"How can I update my profile?","account_help"
"Where can I find the user manual?","contact_info"
"How do I contact customer service?","contact_info"
"What's the best way to get in touch with support?","contact_info"
"Tell me more about the product","product_info"
"Where can I buy this?","product_info"
"What's the return policy?","product_info"
"How do I uninstall an application?","software_help"
"How can I install new software?","software_help"
"What's the best software for video editing?","software_help"
"Can you recommend some apps for productivity?","software_help"
"How do I troubleshoot my computer?","tech_support"
"What should I do if my laptop is overheating?","tech_support"
"How can I improve my internet speed?","tech_support"
"Can you guide me through the setup process?","tech_support"
"How do I back up my data?","tech_support"
"Where can I find the latest updates?","software_update"
"How do I update my system?","software_update"
"What’s the latest version of the software?","software_update"
"Can you help me with installation issues?","software_update"
"How do I check for software updates?","software_update"
"Can you explain the billing process?","billing_info"
"What are the payment options available?","billing_info"
"How can I get a refund?","billing_info"
"Can I change my subscription plan?","billing_info"
"How do I view my billing history?","billing_info"